id,hindi,scrambled,hinglish,english,difficulty
1,दिन,िदन,Din,Day,easy
2,रात,ात्र,Raat,Night,easy
3,समय,मसय,Samay,Time,medium
4,घर,रघ,Ghar,Home,easy
5,सड़क,ड़सक,Sadak,Road,easy
6,प्यार,यार्प,Pyaar,Love,medium
7,दोस्ती,तीदोस,Dosti,Friendship,medium
8,खुशी,शीखु,Khushi,Happiness,easy
9,दुख,खुद,Dukh,Sadness,medium
10,गुस्सा,सागु,Gussa,Anger,hard
11,पेड़,ड़पे,Ped,Tree,easy
12,पानी,नीपा,Paani,Water,easy
13,हवा,वाह,Hawa,Wind,easy
14,पहाड़,ड़हपा,Pahaad,Mountain,medium
15,नदी,दीन,Nadi,River,medium
16,कंप्यूटर,यूटंपकर,Computer,Computer,hard
17,इंटरनेट,टंइनर,Internet,Internet,hard
18,रोबोट,बोरो,Robot,Robot,hard
19,विज्ञान,ज्ञानवि,Vigyan,Science,medium
20,तकनीक,कनीत,Technique,Technology,hard
21,रोटी,तीरो,Roti,Bread,easy
22,चावल,वलचा,Chawal,Rice,easy
23,दाल,लदा,Daal,Lentils,easy
24,मसाला,लामसा,Masala,Spice,medium
25,व्यंजन,जनव्य,Vyanjan,Dish,medium
26,यात्रा,त्राया,Yatra,Journey,medium
27,हवाई अड्डा,अड्डाहवाई,Hawai Adda,Airport,hard
28,समुद्र,द्रसमु,Samundar,Sea,medium
29,पर्वत,वतपर,Parvat,Peak,medium
30,अन्वेषण,षणअन्वे,Anveshhan,Exploration,hard
31,स्वास्थ्य,थ्यस्वा,Swasthya,Health,medium
32,योग,गयो,Yoga,Yoga,easy
33,व्यायाम,यामव्या,Vyayaam,Exercise,medium
34,चिकित्सा,त्सीचिका,Chikitsa,Medicine,hard
35,मानसिक,सिकमान,Mansik,Mental,medium
36,कला,लाक,Kala,Art,easy
37,संगीत,गीतसं,Sangeet,Music,medium
38,नृत्य,त्यनृ,Nritya,Dance,medium
39,साहित्य,त्यसाहि,Sahitya,Literature,hard
40,संस्कृति,तिकृसंस,Sanskriti,Culture,hard
41,शिक्षा,क्षाशि,Shiksha,Education,medium
42,विद्यालय,लयद्यावि,Vidyalaya,School,hard
43,पुस्तक,तकपुस,Pustak,Book,easy
44,ज्ञान,ञागं,Gyaan,Knowledge,medium
45,अध्ययन,यनध्यअ,Adhyayan,Study,hard
46,पेशा,शापे,Pesha,Profession,medium
47,डॉक्टर,टरडॉक,Doctor,Doctor,hard
48,इंजीनियर,नियरइंजी,Engineer,Engineer,hard
49,वकील,लीकव,Vakeel,Lawyer,medium
50,व्यवसाय,सायव्या,Vyavsay,Business,hard
51,परिवार,वारपरि,Parivar,Family,easy
52,मित्र,त्रमि,Mitra,Friend,easy
53,शहर,हरश,Shahar,City,easy
54,गाड़ी,ड़ीगा,Gaadi,Vehicle,easy
55,किताब,ताबकि,Kitaab,Book,easy
56,पेन,नपे,Pen,Pen,easy
57,कागज,गजका,Kaagaz,Paper,easy
58,मोबाइल,बाइलमो,Mobile,Mobile,medium
59,कंपनी,पनीकं,Company,Company,medium
60,बैंक,कंबै,Bank,Bank,medium
61,पैसा,सापै,Paisa,Money,easy
62,दुकान,कानदु,Dukaan,Shop,easy
63,बाजार,जारबा,Bazaar,Market,easy
64,मौसम,सममौ,Mausam,Weather,easy
65,मशीन,शीनम,Machine,Machine,medium
66,कैमरा,मराकै,Camera,Camera,medium
67,कुर्सी,सीकुर,Kursi,Chair,easy
68,मेज,जमे,Mez,Table,easy
69,खिड़की,ड़कीखि,Khidki,Window,easy
70,दरवाजा,जावारद,Darwaaza,Door,easy
71,सोफा,फासो,Sofa,Sofa,easy
72,बिजली,जलीबि,Bijli,Electricity,easy
73,टेलीविजन,विजनटेली,Television,Television,medium
74,रेडियो,डियोरे,Radio,Radio,easy
75,कंडक्टर,टरकंडक,Conductor,Conductor,hard
76,पुलिस,लिसपु,Police,Police,medium
77,अस्पताल,लताअस्प,Hospital,Hospital,medium
78,डाक्टर,टरडाक,Doctor,Doctor,medium
79,नर्स,सनर,Nurse,Nurse,easy
80,इंजीनियर,नियरइंजी,Engineer,Engineer,medium
81,शिक्षक,क्षकशि,Teacher,Teacher,medium
82,वकील,लीकव,Lawyer,Lawyer,medium
83,पायलट,लटपया,Pilot,Pilot,medium
84,व्यापारी,रीपाव्या,Vyapaari,Businessman,medium
85,किसान,सानकि,Kisaan,Farmer,easy
86,मजदूर,दूरमज,Mazdoor,Laborer,easy
87,कलाकार,कारकला,Kalakar,Artist,medium
88,संगीतकार,कारसंगीत,Sangeetkar,Musician,hard
89,लेखक,खकले,Lekhak,Writer,medium
90,पत्रकार,कारपत्र,Patrakar,Journalist,medium
91,वैज्ञानिक,निकवैज्ञा,Vaigyanik,Scientist,hard
92,अभिनेता,ताअभिने,Abhineta,Actor,medium
93,अभिनेत्री,त्रीअभिने,Abhinetri,Actress,medium
94,नर्तक,कनर्त,Nartak,Dancer,medium
95,संगीतकार,कारसंगीत,Sangeetkar,Singer,hard
96,चित्रकार,कारचित्र,Chitrakar,Painter,medium
97,मूर्तिकार,कारमूर्ति,Murtikaar,Sculptor,hard
98,फोटोग्राफर,फरफोटोग्रा,Photographer,Photographer,hard
99,विज्ञापनकार,कारविज्ञापन,Vigyaapankar,Advertiser,hard
100,निर्देशक,कनिर्देश,Nirdeshak,Director,medium
101,कंप्यूटर,यूटंपकर,Computer,Computer,hard
102,लैपटॉप,टॉपलै,Laptop,Laptop,medium
103,मोबाइल,बाइलमो,Mobile,Mobile,easy
104,टैबलेट,लेटटैब,Tablet,Tablet,medium
105,स्मार्टफोन,फोनस्मार्ट,Smartphone,Smartphone,hard
106,प्रेरणा,रणाप्रे,Prerna,Inspiration,medium
107,सपना,नापस,Sapna,Dream,easy
108,लक्ष्य,क्ष्यल,Lakshya,Goal,medium
109,संघर्ष,घर्षसं,Sangharsh,Struggle,hard
110,सफलता,लतासफ,Safalta,Success,medium
111,असफलता,लतासफअ,Asafalata,Failure,hard
112,आत्मविश्वास,श्वासआत्मवि,Aatmavishwas,Self-confidence,hard
113,साहस,हससा,Saahas,Courage,medium
114,धैर्य,र्यधै,Dhairya,Patience,medium
115,क्षमा,माक्ष,Kshama,Forgiveness,medium
116,प्रेम,मप्रे,Prem,Love,easy
117,करुणा,णाकरु,Karuna,Compassion,hard
118,दया,याद,Daya,Mercy,easy
119,शांति,तिशां,Shanti,Peace,medium
120,अहिंसा,साअहिं,Ahimsa,Non-violence,hard
