id,name,description
1,Daily Life,Common words used in everyday situations
2,Emotions,Words expressing feelings and emotional states
3,Nature,Words related to natural elements and environment
4,Technology,Terms associated with modern technology and innovation
5,Food and Cuisine,Words about food, cooking, and culinary experiences
6,Travel,Vocabulary related to journeys, transportation, and exploration
7,Health,Words concerning wellness, medical terms, and physical condition
8,Arts and Culture,Terminology from creative fields and cultural expressions
9,Education,Words related to learning, academic pursuits, and knowledge
10,Professional World,Vocabulary from various professional domains and careers
